date,open,high,low,close,adj_close,volume,div,split
2016-10-01,83.339996,83.540001,80.949997,81.550003,69.844337,14416900,,
2016-11-01,81.750000,86.320000,79.900002,85.820000,73.501427,32740200,,
2016-12-01,86.050003,88.629997,85.370003,86.639999,74.203728,29351600,,
2017-01-01,87.269997,89.320000,86.800003,88.379997,75.820885,24647000,,
2017-02-01,88.559998,91.680000,87.839996,91.150002,78.197258,15863400,,
2017-03-01,91.849998,92.529999,88.879997,90.820000,77.914139,17804500,,
2017-04-01,90.900002,92.339996,89.540001,91.419998,78.730209,14601000,,
2017-05-01,91.629997,92.209999,89.750000,91.930000,79.169449,12987100,,
2017-06-01,92.129997,93.639999,91.870003,92.680000,79.815353,9682400,,
2017-07-01,93.139999,94.800003,91.809998,94.160004,81.370239,9001400,,
2017-08-01,94.410004,94.430000,91.309998,93.220001,80.557915,11986400,,
2017-09-01,93.440002,95.550003,92.519997,95.540001,82.562790,8453000,,
2017-10-01,95.589996,97.610001,95.440002,96.580002,83.824661,11633700,,
2017-11-01,96.900002,100.709999,96.099998,100.250000,87.010002,7762500,,
2017-12-01,100.269997,101.809998,98.559998,101.029999,87.686943,9575100,,
2018-01-01,101.339996,107.440002,101.230003,105.459999,91.953407,12750700,,
2018-02-01,105.120003,105.680000,94.970001,100.830002,87.916397,22737300,,
2018-03-01,100.820000,104.410004,97.199997,99.480003,86.739296,14918500,,
2018-04-01,99.279999,102.169998,96.370003,99.849998,87.427994,11701700,,
2018-05-01,99.660004,102.750000,97.529999,101.300003,88.697601,9603900,,
2018-06-01,101.809998,104.650002,100.849998,101.889999,89.214226,10287500,,
2018-07-01,101.309998,105.610001,100.989998,105.050003,92.337013,10701800,,
2018-08-01,104.940002,107.889999,103.690002,107.110001,94.147720,11782100,,
2018-09-01,107.000000,108.889999,106.269997,106.809998,93.884026,13738500,,
2018-10-01,107.230003,107.370003,95.400002,99.070000,87.472198,33572900,,
2018-11-01,99.320000,103.360001,97.760002,101.660004,89.759018,20619800,,
2018-12-01,103.040001,103.339996,85.760002,91.400002,80.700119,35301900,,
2019-01-01,90.059998,100.470001,89.470001,100.370003,89.152893,27547700,,
2019-02-01,100.500000,105.260002,99.910004,104.050003,92.421631,16780900,,
2019-03-01,104.769997,105.139999,101.209999,104.440002,92.768013,15914800,,
2019-04-01,105.190002,108.300003,105.120003,108.190002,96.541847,13957500,,
2019-05-01,108.290001,108.489998,100.500000,100.690002,89.849319,17178900,,
2019-06-01,100.750000,108.330002,100.739998,107.800003,96.193863,12775700,,
2019-07-01,109.000000,110.239998,107.870003,108.709999,97.448280,10623700,,
2019-08-01,108.669998,109.430000,101.730003,105.160004,94.266029,14402700,,
2019-09-01,104.489998,110.250000,103.959999,108.080002,96.883545,9949900,,
2019-10-01,108.260002,110.290001,103.139999,109.410004,98.546394,9660400,,
2019-11-01,110.000000,113.639999,109.989998,113.129997,101.897026,7500900,,
2019-12-01,113.160004,116.129997,110.519997,115.720001,104.229881,10380500,,
2020-01-01,116.269997,118.470001,113.230003,113.540001,102.681732,10257800,,
2020-02-01,114.139999,118.980003,100.449997,103.470001,93.574776,17954100,,
2020-03-01,103.870003,109.339996,70.559998,84.019997,75.984833,53544400,,
2020-04-01,80.739998,99.150002,79.000000,96.139999,87.800011,33826700,,
2020-05-01,94.080002,102.779999,87.000000,100.709999,91.973572,33363600,,
2020-06-01,100.540001,113.160004,98.059998,101.760002,92.932487,45228600,,
2020-07-01,102.040001,107.970001,99.400002,106.839996,97.975853,35758500,,
2020-08-01,107.019997,112.410004,106.430000,111.400002,102.157547,30367600,,
2020-09-01,111.120003,114.449997,103.480003,108.110001,99.140503,35232500,,
2020-10-01,108.650002,114.680000,105.949997,107.510002,99.038536,36739700,,
2020-11-01,108.989998,125.430000,108.279999,122.879997,113.197411,49187600,,
2020-12-01,124.419998,127.699997,123.300003,127.540001,117.490234,49285300,,
2021-01-01,127.959999,132.979996,124.620003,126.500000,116.939049,46324000,,
2021-02-01,127.540001,138.539993,126.739998,134.199997,124.057045,40947700,,
2021-03-01,135.960007,142.929993,132.000000,141.660004,130.953232,85560700,,
2021-04-01,142.139999,149.520004,141.770004,148.279999,137.705780,48934900,,
2021-05-01,149.139999,152.850006,145.779999,151.119995,140.343262,60322600,,
2021-06-01,152.190002,152.529999,146.580002,150.729996,139.981049,50245700,,
2021-07-01,151.229996,153.630005,145.610001,152.679993,142.199234,56390200,,
2021-08-01,153.380005,156.880005,151.220001,156.300003,145.570755,42038800,,
2021-09-01,156.690002,157.460007,148.399994,149.820007,139.535583,53415800,,
2021-10-01,150.580002,159.389999,149.410004,157.759995,147.467224,45522400,,
2021-11-01,158.279999,162.800003,153.539993,153.589996,143.569305,41614300,,
2021-12-01,155.919998,163.860001,151.570007,162.750000,152.131668,82775600,,
